name sigma sigma_e
NGC5623 260.8 6.7
NGC5623 262.2 7.0
NGC5623 250.5 6.4
NGC5623 249.3 6.8
NGC5846A 195.3 3.5
UGC01841 241.9 11.4
UGC01841 248.5 9.7
UGC01841 258.0 8.0
UGC01841 242.3 8.1
IC0257 351.2 8.8
NGC1161 257.5 5.9
NGC1265 290.2 7.4
NGC5354 230.5 6.5
UGC12889 154.7 8.5
IC5370 238.3 4.3
UGC12899 263.1 12.6
NGC7810 127.4 6.7
NGC7814 192.6 5.9
NGC7820 143.5 10.5
NGC7824 229.7 6.2
NGC0023 158.5 12.0
UGC00102 196.8 7.3
NGC0036 142.1 6.9
MRK0337 137.8 5.5
PGC000902 84.1 18.6
NGC0050 274.8 8.7
NGC0057 298.6 8.8
NGC0057 314.5 12.4
PGC001084 256.1 8.4
NGC0071 206.9 6.4
PGC1055035 148.9 4.5
NGC0080 235.0 7.5
NGC0083 271.0 8.9
NGC0093 182.4 10.3
UGC00260 72.8 29.5
NGC0118 125.7 20.8
NGC0138 259.4 6.5
NGC0145 74.1 30.5
NGC0157 81.6 10.5
NGC0163 267.2 8.4
UGC00367 282.3 7.1
2M00373 208.0 4.7
PGC089884 138.8 12.7
NGC0180 118.9 10.3
NGC0200 111.0 9.5
IC1568 285.4 8.7
NGC0205 24.8 25.4
NGC0227 269.2 6.1
NGC0221 63.4 12.4
NGC0224 185.3 3.4
PGC002598 140.2 29.8
NGC0234 74.7 18.2
UGC00465 144.1 5.6
IC1584 87.6 9.2
NGC0266 238.9 7.6
NGC0278 55.3 13.5
NGC0307 239.4 7.5
NGC0309 117.5 8.0
NGC0311 250.6 6.9
NGC0315 339.0 7.5
NGC0315 328.3 6.2
NGC0315 335.5 5.8
UGC00622 34.9 25.5
NGC0351 121.9 6.8
NGC0380 281.0 7.2
NGC0380 284.7 5.8
PGC003963 369.0 11.8
NGC0383 326.1 9.0
NGC0383 291.5 8.8
NGC0383 300.5 6.7
NGC0384 262.1 5.9
NGC0384 266.4 3.9
NGC0384 250.1 6.5
NGC0392 235.6 6.6
NGC0410 310.6 5.8
NGC0426 297.4 7.6
NGC0428 55.8 26.4
NGC0430 242.4 6.4
PGC004568 207.9 6.3
NGC0446 173.0 7.4
NGC0449 250.1 86.3
MRK0567 142.2 13.2
NGC0469 31.0 44.7
NGC0469 20.6 53.7
NGC0473 62.3 10.3
NGC0471 127.5 5.4
NGC0471 127.4 6.0
NGC0472 247.1 6.6
NGC0472 245.6 5.0
NGC0472 253.1 5.5
NGC0472 256.7 5.4
